area,province
de zalze winelands golf estate,Western Cape
del judor ext 1,Gauteng
delareyville,North West
delmas,Mpumalanga
delmas west,Mpumalanga
denneburg,Gauteng
dennesig,Western Cape
derdepoort,Gauteng
diamant park,Gauteng
diaz industria,Western Cape
die rand,Gauteng
die wilgers,Gauteng
diep river,Western Cape
dinwiddie,Gauteng
doorn,Western Cape
doornpoort,Gauteng
dormehls drift,Western Cape
douglasdale,Gauteng
dowerglen,Gauteng
dreyersdal estate,Western Cape
driehoek,Gauteng
du plessi park,Gauteng
duncanville,Gauteng
dundee,KwaZulu-Natal
durban central,KwaZulu-Natal
durban north,KwaZulu-Natal
durbanville central,Western Cape
durbanville hills,Western Cape
dwarswegstrand,Gauteng
east london central,Eastern Cape
east london rural,Eastern Cape
east lynne,Gauteng
eastcliff,Eastern Cape
eastgate,Gauteng
eastleigh,Gauteng
ecaleni,KwaZulu-Natal
eco park estate,Gauteng
eden glen,Gauteng
edenburg,Free State
edendale,KwaZulu-Natal
edenvale central,Gauteng
eersterivier industria,Western Cape
eikenhof,Gauteng
elandshaven,Western Cape
elarduspark,Gauteng
eldorado park,Gauteng
eldoraigne,Gauteng
elim,Western Cape
elsburg,Gauteng
elsies river industrial,Western Cape
emmarentia,Gauteng
empangeni central,KwaZulu-Natal
empangeni rail,KwaZulu-Natal
epping industrial,Western Cape
equestria,Gauteng
erasmusrand,Gauteng
ermelo,Mpumalanga
eshowe,KwaZulu-Natal
essenwood,KwaZulu-Natal
estcourt,KwaZulu-Natal
estcourt rural,KwaZulu-Natal
evans park,KwaZulu-Natal
eveleigh,Gauteng
everite industria,Gauteng
everton,Gauteng
factoria,Gauteng
faerie glen,Gauteng
fairfield estate,KwaZulu-Natal
fairview,Gauteng
fairview industrial,Gauteng
farrarmere,Gauteng
ferndale,Gauteng
ficksburg,Free State
firgrove,Western Cape
fish hoek central,Western Cape
flamwood,Gauteng
florida,Gauteng
florida glen,Gauteng
florida north,Gauteng
florida park,Gauteng
fochville,Gauteng
fontainebleau,Gauteng
foreshore,Western Cape
forest heights,Gauteng
forest hill,Gauteng
forest hills,Gauteng
fountains estate business park,Gauteng
fourways,Gauteng
fourways gardens,Gauteng
framesby,Eastern Cape
franklin roosevelt park,Gauteng
fransville,Gauteng
freemanville,Gauteng
fresnaye,Western Cape
frogmore estate,Gauteng
gallo manor,Gauteng
gants plaza,Gauteng
gardens,Western Cape
garsfontein,Gauteng
gateway industrial park,Gauteng
geduld ext 1,Gauteng
george botha park,Gauteng
george central,Western Cape
george east,Western Cape
george industrial,Western Cape
george park,Western Cape
george south,Western Cape
georgetown,Gauteng
germiston central,Gauteng
germiston industrial,Gauteng
gezina,Gauteng
gillitts,KwaZulu-Natal
glen anil,KwaZulu-Natal
glen austin,Gauteng
glen hills,KwaZulu-Natal
glen marais,Gauteng
glen nerine,KwaZulu-Natal
glenanda,Gauteng
glenashley,KwaZulu-Natal
gleneagles,Gauteng
glenhazel,Gauteng
glenlilly,KwaZulu-Natal
glenvarloch,KwaZulu-Natal
glenvista,Gauteng
goedeburg,Western Cape
goedehoop,Gauteng
goedemoed,Western Cape
goodwood central,Western Cape
gordons bay central,Western Cape
gordons bay village,Western Cape
graanendal,Western Cape
grahamstown central,Eastern Cape
grand central,Gauteng
green point,Western Cape
greenacres,Eastern Cape
greenfields,Western Cape
greenshields park,Gauteng
greenside,Gauteng
greenstone hill,Gauteng
gresswold,Gauteng
greytown,KwaZulu-Natal
grimbeeck park,Gauteng
groblersdal,Limpopo
groenheuwel,Western Cape
groenvlei,Western Cape
groot brakrivier central,Western Cape
grootbrakhoogte,Western Cape
grootvlei,Gauteng
hageland estate,Gauteng
halfway gardens,Gauteng
halfway house,Gauteng
harrismith,Free State
hartenbos heuwels,Western Cape
hartenbos landgoed,Western Cape
hartswater,Northern Cape
harveston a h,Gauteng
hatfield,Gauteng
hatton estate,Gauteng
hazyview,Mpumalanga
heathfield,Western Cape
heidelberg central,Gauteng
heidelberg industrial,Gauteng
helderkruin,Gauteng
heldervue,Western Cape
hemel en aarde estate,Western Cape
hennops park industrial,Gauteng
hermanus central,Western Cape
hermanus industria,Western Cape
highlands north,Gauteng
highveld,Gauteng
highveld business park,Gauteng
highveld technopark,Gauteng
hillcrest central,KwaZulu-Natal
hilldene,KwaZulu-Natal
hilton central,KwaZulu-Natal
hilton rural,KwaZulu-Natal
hoedspruit,Limpopo
honeypark,Gauteng
hoog en droog,Western Cape
hoogland,Western Cape
horison,Gauteng
horison view,Gauteng
hospitaalpark,Gauteng
hospital park,Gauteng
houghton estate,Gauteng
hout bay beachfront,Western Cape
hout bay central,Western Cape
howick central,KwaZulu-Natal
hughes,Gauteng
humansdorp,Eastern Cape
hurlingham,Gauteng
hurlingham manor,Gauteng
hyde park,Gauteng
ifafi,North West
illovo,Gauteng
impala park,Gauteng
irene,Gauteng
irene farm villages,Gauteng
isandovale,Gauteng
ivy park,Gauteng
ivydale a h,Gauteng
jacobs,KwaZulu-Natal
jagersrust,Gauteng
jamestown,Western Cape
jansenpark,Gauteng
jet park,Gauteng
johannesburg central,Gauteng
johannesburg north,Gauteng
joostenbergvlakte,Western Cape
k'shane,Gauteng
kalk bay,Western Cape
kameelfontein,Gauteng
karenpark,Gauteng
kelderhof country village,Gauteng
kempenville,Gauteng
kempton park ah,Gauteng
kempton park central,Gauteng
kenilworth,Western Cape
kenridge,Western Cape
kensington,Gauteng
kensington b,Gauteng
kew,Gauteng
kew industrial,Gauteng
killarney,Gauteng
killarney gardens,Western Cape
kimberley central,Northern Cape
kimberley north,Northern Cape
king williams town central,Eastern Cape
kingsview ext 1,Gauteng
kinross,Mpumalanga
kirstenhof,Western Cape
klapmuts,Western Cape
kleinfontein,Gauteng
kleinmond central,Western Cape
klerksdorp central,North West
klerksdorp rural,North West
klipfontein,Gauteng
klipspruit,Gauteng
kloof,KwaZulu-Natal
knoppieslaagte,Gauteng
knysna central,Western Cape
knysna industrial,Western Cape
kokstad,KwaZulu-Natal
kommetjie,Western Cape
kraaibosch manor,Western Cape
kramerville,Gauteng
krokodildrift a h,Gauteng
kroonheuwel,Western Cape
kroonstad central,Free State
kroonstad industrial,Free State
kuilsrivier industria,Western Cape
kuleka,Gauteng
kuruman,Northern Cape
kyalami,Gauteng
kyalami gardens,Gauteng
kyalami park,Gauteng
la colline,Gauteng
la lucia,KwaZulu-Natal
la montagne,Gauteng
la rochelle,Western Cape
ladybrand,Free State
ladysmith central,KwaZulu-Natal
lakeside,Western Cape
langebaan north,Western Cape
langeberg heights,Western Cape
langeberg ridge,Western Cape
langenhovenpark,Free State
lansdowne,Western Cape
laser park,Gauteng
lavalia,Gauteng
lemoendraai,Western Cape
lenasia,Gauteng
lenasia ext 1,Gauteng
lenasia ext 5,Gauteng
lenasia ext 8,Gauteng
lenasia ext 9,Gauteng
lichtenburg,North West
lichtenburg rural,North West
linbro park,Gauteng
linden,Gauteng
lindo park,Gauteng
linksfield,Gauteng
linton grange,KwaZulu-Natal
little falls,Gauteng
llandudno,Western Cape
loevenstein,Western Cape
lonehill,Gauteng
longdown,Western Cape
longlands,Western Cape
longmeadow,Gauteng
lorraine,Eastern Cape
lotus river,Western Cape
louis trichardt,Limpopo
louwlardia,Gauteng
lydenburg,Mpumalanga
lyme park,Gauteng
lyndhurst,Gauteng
lynnwood,Gauteng
lynnwood glen,Gauteng
lynnwood manor,Gauteng
lynnwood ridge,Gauteng
lyttelton manor,Gauteng
mabille park,Gauteng
maboneng,Gauteng
mafikeng industrial,North West
magalieskruin,Gauteng
magaliessig,Gauteng
magaliesview,Gauteng
maitland,Western Cape
malelane,Mpumalanga
malelane rural,Mpumalanga
mall interchange,Gauteng
malmesbury industria,Western Cape
malmesbury rural,Western Cape
maluti,KwaZulu-Natal
malvern,Gauteng
mamelodi east,Gauteng
manufacta,Gauteng
marais steyn park,Gauteng
marconi beam industria,Gauteng
marimba gardens,KwaZulu-Natal
marina da gama,Western Cape
marlboro,Gauteng
marlboro gardens,Gauteng
marshalltown,Gauteng
mayville,KwaZulu-Natal
meadowdale,Gauteng
meer en see,Western Cape
melkbosstrand central,Western Cape
melrose arch,Gauteng
melrose north,Gauteng
menlo park,Gauteng
menlyn,Gauteng
meyersdal,Gauteng
meyerton central,Gauteng
meyerton park,Gauteng
mid town,Gauteng
middelburg central,Mpumalanga
middelburg rural,Mpumalanga
middelburg south,Mpumalanga
midridge park,Gauteng
milkwood park,Western Cape
mill park,Gauteng
milnerton central,Western Cape
milnerton ridge,Western Cape
mindalore,Gauteng
minerva gardens,Gauteng
mobeni,KwaZulu-Natal
modelkloof,Western Cape
modimolle,Limpopo
mokopane central,Limpopo
mokopane rural,Limpopo
montagu rural,Western Cape
montague gardens,Western Cape
montana,Gauteng
montana park,Gauteng
montana tuine,Gauteng
montshioa,North West
monument heights,Gauteng
monument park,Gauteng
mooikloof,Gauteng
mookgopong,Limpopo
moola industrial,Gauteng
morehill,Gauteng
moreleta park,Gauteng
morganridge,Gauteng
morning hill,KwaZulu-Natal
morningside,Gauteng
morningside manor,Gauteng
mostertsdrift,Western Cape
mouille point,Western Cape
mount croix,KwaZulu-Natal
mount edgecombe country estate,KwaZulu-Natal
mount edgecombe north,KwaZulu-Natal
mowbray,Western Cape
mthatha central,Eastern Cape
muckleneuk,Gauteng
muizenberg,Western Cape
musgrave,KwaZulu-Natal
musina,Limpopo
n1 city,Western Cape
n4 gateway industrial park,Gauteng
nahoon,Eastern Cape
nahoon valley,Eastern Cape
nahoon valley park,Eastern Cape
natures valley,Western Cape
nelspruit central,Mpumalanga
nelspruit ext 1,Mpumalanga
nelspruit ext 7,Mpumalanga
neserhof,Western Cape
new market park,Gauteng
new modder,Gauteng
new redruth,Gauteng
new town centre,Gauteng
newcastle central,KwaZulu-Natal
newlands,Western Cape
newlands upper,Western Cape
newlands west,KwaZulu-Natal
newton park,Eastern Cape
nieuw muckleneuk,Gauteng
nigel central,Gauteng
nimrod park,Gauteng
nirvana ext 2,Gauteng
nirvana industrial,Gauteng
noordkruin,Gauteng
noorsekloof,Western Cape
norscot,Gauteng
north beach,KwaZulu-Natal
north end,Eastern Cape
north riding,Gauteng
north riding a h,Gauteng
northcliff,Gauteng
northgate,Gauteng
northgate island,Gauteng
northmead,Gauteng
northwold gardens,Gauteng
norwood,Gauteng
nuffield industrial,Gauteng
oakdale,Gauteng
oakdene,Gauteng
oaklands,Gauteng
oberholzer,Gauteng
observatory,Western Cape
ocean view,Western Cape
old fort,Gauteng
olivedale,Gauteng
olympus,Gauteng
onverwacht,Gauteng
oos einde,Gauteng
oostersee,Western Cape
orange grove,Gauteng
oranjesig,Free State
oriel,Gauteng
orlando west,Gauteng
ormonde,Gauteng
oslo beach,KwaZulu-Natal
ottery,Western Cape
ottery east,Western Cape
oudtshoorn north,Western Cape
oudtshoorn south,Western Cape
overbaakens,Eastern Cape
overport,KwaZulu-Natal
paardeneiland,Western Cape
paarl central,Western Cape
paarl central east,Western Cape
paarl east,Western Cape
paarl rural,Western Cape
paarl south,Western Cape
panorama,Western Cape
paradise,Western Cape
paradyskloof,Western Cape
park hill,KwaZulu-Natal
park rynie,KwaZulu-Natal
parkhaven,KwaZulu-Natal
parkhurst,Gauteng
parkmore,Gauteng
parkrand,Gauteng
parkside,KwaZulu-Natal
parktown,Gauteng
parktown north,Gauteng
parow central,Western Cape
parow east,Western Cape
patlynn a h,Gauteng
paulpietersburg,KwaZulu-Natal
paulshof,Gauteng
payneville,Gauteng
peacehaven industrial,Gauteng
pearl valley at val de vie,Western Cape
pelham,Gauteng
pelican park,Western Cape
phalaborwa,Limpopo
phoenix industrial,KwaZulu-Natal
pienaarsdorp,Gauteng
piet retief,Mpumalanga
pietermaritzburg central,KwaZulu-Natal
piketberg,Western Cape
pinelands,Western Cape
pinetown central,KwaZulu-Natal
pinetown north industria,KwaZulu-Natal
pinnacle point golf estate,Western Cape
plattekloof,Western Cape
plattekloof 2,Western Cape
plattekloof 3,Western Cape
plumstead,Western Cape
point waterfront,KwaZulu-Natal
polokwane central,Limpopo
polokwane ext 79,Limpopo
pomona,Gauteng
pongola,KwaZulu-Natal
poortview,Gauteng
port elizabeth central,Eastern Cape
port elizabeth rural,Eastern Cape
port shepstone central,KwaZulu-Natal
potchefstroom central,North West
potchefstroom industrial,North West
presidentsrus,Free State
pretoria central,Gauteng
pretoria north,Gauteng
pretoria west,Gauteng
pretorius kloof,Western Cape
pretoriuspark,Gauteng
princess a h,Gauteng
prospecton industrial,KwaZulu-Natal
protea heights,Western Cape
queenstown central,Eastern Cape
raceview,Gauteng
radiokop,Gauteng
ramsgate,KwaZulu-Natal
randburg central,Gauteng
randfontein central,Gauteng
randjespark,Gauteng
randpark ridge,Gauteng
raslouw,Gauteng
rathboneville,Gauteng
ravenswood,Gauteng
red hill,Western Cape
reebok,Gauteng
reservoir hills,KwaZulu-Natal
retreat industrial,Western Cape
reuven,Gauteng
rhodesfield,Gauteng
richards bay central,KwaZulu-Natal
richards bay rural,KwaZulu-Natal
richmond,KwaZulu-Natal
richmond estate,KwaZulu-Natal
richmond park,KwaZulu-Natal
richwood,Western Cape
ridgeway,Gauteng
rietfontein,Gauteng
risiville,Gauteng
riversdale,Western Cape
riverside park,Mpumalanga
rivonia,Gauteng
robertsham,Gauteng
robertson,Western Cape
robertville,Gauteng
rocky drift,Western Cape
rome,Gauteng
rondebosch,Western Cape
rondebosch east,Western Cape
roodeplaat,Gauteng
roodepoort,Gauteng
roodepoort west,Gauteng
rooihuiskraal north,Gauteng
rose park,Gauteng
rosebank,Gauteng
rosenpark,Gauteng
rosettenville,Gauteng
rossburgh,KwaZulu-Natal
route 21 business park,Gauteng
royal ascot,Gauteng
rua vista,Gauteng
rugby,Gauteng
ruiterhof,Gauteng
russels rest,Western Cape
rustenburg central,North West
rynfield,Gauteng
sae business park,Gauteng
salt river,Western Cape
salt rock,KwaZulu-Natal
samrand business park,Gauteng
sandbaai,Western Cape
sandown,Gauteng
sandton central,Gauteng
sanlamhof,Western Cape
sasolburg industrial zone 2,Free State
savannah country estate,Gauteng
savoy estate,Gauteng
saxonwold,Gauteng
schuinshoogte,Gauteng
schweizer reneke,North West
sea point,Western Cape
sea view,KwaZulu-Natal
secunda,Mpumalanga
secunda central,Mpumalanga
secunda rural,Mpumalanga
sedgefield central,Western Cape
selby,Gauteng
selection park,Gauteng
sentra park,Gauteng
shakas head,KwaZulu-Natal
sheffield cove estate,KwaZulu-Natal
sheffield manor,KwaZulu-Natal
shelley point,Western Cape
shelly beach,KwaZulu-Natal
sherwood,KwaZulu-Natal
sibaya,KwaZulu-Natal
sidwell,Eastern Cape
silver lakes golf estate,Gauteng
silverhurst,Western Cape
silverton,Gauteng
sinoville,Gauteng
sitari,Gauteng
six fountains residential estate,Gauteng
somerset west central,Western Cape
somerset west retail park,Western Cape
sonheuwel,Western Cape
sonheuwel ext 1,Western Cape
sonstraal heights,Western Cape
south beach,KwaZulu-Natal
south crest,KwaZulu-Natal
south kensington,Gauteng
southdale,Gauteng
southernwood,Eastern Cape
southfield,Western Cape
spandauville,Gauteng
sparks,Gauteng
sparks estate,Gauteng
springbok park,Northern Cape
springfield,KwaZulu-Natal
springs a h,Gauteng
springs central,Gauteng
st helier,Western Cape
st michaels,KwaZulu-Natal
stamford hill,KwaZulu-Natal
standerton central,Mpumalanga
stanger industrial,KwaZulu-Natal
steiltes,Western Cape
stellenbosch central,Western Cape
stellenbosch farms,Western Cape
stellenryk,Western Cape
sterkspruit estates,Eastern Cape
steyn city,Gauteng
stikland,Western Cape
stikland industrial,Western Cape
stilbaai wes,Western Cape
stilfontein rural,North West
stonehaven estate,Western Cape
strand industria,Western Cape
strand north,Western Cape
stratford,Gauteng
strijdompark,Gauteng
strubensvallei,Gauteng
sundowner,Gauteng
sunningdale,Western Cape
sunninghill,Gauteng
sunnyrock,Gauteng
sunset park,Western Cape
swellendam,Western Cape
sydenham,KwaZulu-Natal
table view,Western Cape
tamboerskloof,Western Cape
the gardens,Western Cape
the willows,Gauteng
theronville,Gauteng
three rivers,Western Cape
tijgerhof,Gauteng
toekomsrus,Gauteng
tokai,Western Cape
town hill,KwaZulu-Natal
townsend estate,Western Cape
triangle farm,Gauteng
trichardt,Mpumalanga
tunney,Gauteng
tyger waterfront,Western Cape
tzangeni,Limpopo
uitenhage central,Eastern Cape
umbogintwini,KwaZulu-Natal
umdloti,KwaZulu-Natal
umgeni business park,KwaZulu-Natal
umhlali,KwaZulu-Natal
umhlanga ridge,KwaZulu-Natal
umhlanga ridgeside,KwaZulu-Natal
umhlanga rocks,KwaZulu-Natal
umhlatuzana,KwaZulu-Natal
umlazi n,KwaZulu-Natal
upington central,Northern Cape
val de vie estate,Western Cape
van riebeeck park,Western Cape
van riebeeckshof,Western Cape
vanderbijlpark ce 6,Free State
vanderbijlpark central,Free State
vanderbijlpark cw 1,Free State
vanderbijlpark cw 3,Free State
vanderbijlpark cw 4,Free State
vanderbijlpark se 1,Free State
vanderbijlpark se 2,Free State
vanderbijlpark sw,Free State
vanderbijlpark sw 1,Free State
vandia grove,Gauteng
vanrhynsdorp,Western Cape
vasco estate,Gauteng
ventersdorp rural,North West
vereeniging central,Free State
vereeniging industrial,Free State
victory park,Gauteng
vierlanden,Western Cape
viljoenskroon rural,Free State
villieria,Gauteng
villiersdorp,Western Cape
vincent,Eastern Cape
vintonia,Gauteng
vista park,Gauteng
vlam,Gauteng
voorbaai,Western Cape
voorspoed,Free State
vorna valley,Gauteng
vredehoek,Western Cape
vredelust,Western Cape
vredenburg,Western Cape
vredendal,Western Cape
vryburg,North West
vryheid,KwaZulu-Natal
vulcania,Gauteng
vyfhoek a h,Gauteng
w p park,Gauteng
walmer,Eastern Cape
walmer downs,Eastern Cape
wapadrand,Gauteng
warner beach,KwaZulu-Natal
warwick,KwaZulu-Natal
waterfall,Gauteng
waterfall valley mature lifestyle estate,KwaZulu-Natal
waterford estates,KwaZulu-Natal
waterfront,Western Cape
waterkloof,Gauteng
waterkloof a h,Gauteng
waterkloof glen,Gauteng
waterval east,Gauteng
waverley,Gauteng
welgemoed,Western Cape
welkom central,Free State
wellington central,Western Cape
wellington north,Western Cape
wellington rural,Western Cape
wellway park,Gauteng
weltevreden park,Gauteng
wemmer,Gauteng
wendywood,Gauteng
west acres ext 1,Gauteng
west bank,Western Cape
west turffontein,Gauteng
westerdale,Western Cape
westering,Eastern Cape
westgate,Western Cape
westonaria,Gauteng
westville central,KwaZulu-Natal
westwood,KwaZulu-Natal
wetton,Western Cape
white river central,Mpumalanga
white river country estate,Mpumalanga
white river rural,Mpumalanga
widenham,KwaZulu-Natal
wierda park,Gauteng
wilderness heights,Western Cape
wilgeheuwel,Gauteng
wilkoppies,Free State
willow acres estate,Gauteng
willowbrook,Gauteng
wilro park,Gauteng
windermere,KwaZulu-Natal
windsor park,Western Cape
winelands,Western Cape
witbank central,Mpumalanga
witbank ext 12,Mpumalanga
witbank ext 8,Mpumalanga
witfield,Gauteng
witkoppen,Gauteng
wonderboom,Gauteng
wonderboom south,Gauteng
woodmead,Gauteng
woodstock,Western Cape
worcester central,Western Cape
wynberg,Western Cape
wynberg upper,Western Cape
wynland industrial park,Western Cape
xanadu eco park,North West
zambezi country estate,Gauteng
zeekoewater a h,Mpumalanga
zoo park,Gauteng
zwavelpoort,Gauteng
zwelihle,Western Cape
mossel bay,Western Cape
gosforth park,Gauteng
montclair,KwaZulu-Natal
waterkloof ridge,Gauteng
moorreesburg,Western Cape
